Merge_Col	CCd_1_readcounts.tab	CCd_2_readcounts.tab	CCd_3_readcounts.tab	CCd_4_readcounts.tab	CCd_5_readcounts.tab	CCd_6_readcounts.tab	CCd_7_readcounts.tab	CCd_8_readcounts.tab	CCt_1_readcounts.tab	CCt_2_readcounts.tab	CCt_3_readcounts.tab	CCt_4_readcounts.tab	CCt_5_readcounts.tab	CCt_6_readcounts.tab	CCt_7_readcounts.tab	CCt_8_readcounts.tab	DD_1_readcounts.tab	DD_2_readcounts.tab	DD_3_readcounts.tab	DD_4_readcounts.tab	DD_5_readcounts.tab	DSC_1_readcounts.tab	DSC_2_readcounts.tab	DSC_3_readcounts.tab	DSC_4_readcounts.tab	ECd_1_readcounts.tab	ECd_2_readcounts.tab	ECd_3_readcounts.tab	ECd_4_readcounts.tab	ECd_5_readcounts.tab	ECd_6_readcounts.tab	ECd_7_readcounts.tab	ECd_8_readcounts.tab	ECt_1_readcounts.tab	ECt_2_readcounts.tab	ECt_3_readcounts.tab	ECt_4_readcounts.tab	ECt_5_readcounts.tab	ECt_6_readcounts.tab	ECt_7_readcounts.tab	ECt_8_readcounts.tab	TT_1_readcounts.tab	TT_2_readcounts.tab	TT_3_readcounts.tab	TT_4_readcounts.tab	TT_5_readcounts.tab
AT1G23200	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23201	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23205	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23210	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23220	0	0	1	0	0	0	27	30	103	0	80	35	0	65	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	1	0	0	0	0	0
AT1G23230	27	175	81	179	257	34	71	6	21	54	1	89	2	132	9	52	0	26	0	29	70	0	25	8	2	0	1	0	0	36	21	0	283	0	152	0	89	91	0	94	62	48	67	30	0	31
AT1G23240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23260	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	69	0	1	27	0	2	0	0	46	0	0	0	79	0	0	0	0	0	56	67	0	97	0	90	114	0	0	24
AT1G23270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23280	120	597	422	345	92	295	453	191	444	263	376	948	234	422	995	228	173	69	32	83	71	0	0	1	0	73	70	13	102	144	96	0	0	8	36	200	172	192	0	118	57	53	105	68	45	62
AT1G23290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23310	78	291	189	242	177	66	165	167	493	38	180	299	236	653	16	182	37	5	0	105	3	0	0	0	0	0	4	0	0	70	0	0	0	19	0	18	0	283	0	0	0	0	0	0	0	104
AT1G23320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23330	17	320	92	26	0	106	100	140	175	11	119	0	0	192	0	198	0	2	0	1	0	0	8	30	64	282	4	4	0	101	0	0	0	0	0	23	0	26	0	0	0	0	0	0	0	1
AT1G23340	0	0	0	79	0	0	51	7	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23360	22	409	24	83	23	15	149	5	249	0	1	99	2	76	1	37	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23390	0	0	0	0	1	0	3	0	20	3	0	44	89	0	17	74	0	44	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23400	55	17	65	175	1	22	56	77	192	117	322	164	149	447	174	178	0	1	24	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	0	3	0
AT1G23410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23440	113	497	355	346	232	39	76	150	175	404	263	86	435	129	11	27	0	0	24	0	3	15	0	0	0	0	69	0	0	0	0	0	0	0	0	0	2	80	0	45	0	72	56	0	28	38
AT1G23450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1
AT1G23460	1	0	0	0	1	1	1	0	1	0	0	108	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
AT1G23465	14	87	61	143	1	66	2	0	110	76	0	0	0	45	0	67	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23480	22	0	59	82	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
